gene_id,DMSO_24h-1,DMSO_24h-2,DMSO_24h-3,SP2509_24h-1,SP2509_24h-2,SP2509_24h-3
ENSG00000006555,0,1,0,0,1,0
ENSG00000006576,764,661,948,710,861,599
ENSG00000006606,0,0,1,1,1,0
ENSG00000006607,2179,2000,2874,1853,2344,1687
ENSG00000006611,0,0,0,0,2,0
ENSG00000006625,760,853,1253,861,1083,815
ENSG00000006634,558,596,800,364,453,355
ENSG00000006638,4,0,2,0,5,1
ENSG00000006652,594,586,766,1388,1551,1010
ENSG00000006659,0,0,0,0,0,0
ENSG00000006695,358,331,458,326,390,261
ENSG00000006704,347,345,490,538,682,510
ENSG00000006712,1453,1218,1928,1211,1390,1081
ENSG00000006715,786,793,1073,1057,1335,919
ENSG00000006740,345,335,454,465,548,398
ENSG00000006744,1923,1818,2655,1379,1789,1304
ENSG00000006747,14,14,9,11,11,11
ENSG00000006756,944,919,1300,1167,1480,1126
ENSG00000006757,448,449,689,488,611,481
ENSG00000006788,0,0,0,1,2,0
ENSG00000006831,1089,1085,1477,1008,1300,923
ENSG00000006837,11,11,14,12,15,6
ENSG00000007001,0,0,2,1,1,0
ENSG00000007038,1,0,1,1,0,1
ENSG00000007047,205,161,240,254,285,261
ENSG00000007062,0,0,1,1,2,0
ENSG00000007080,1530,1309,2048,1257,1549,1241
ENSG00000007129,0,0,0,0,0,0
ENSG00000007168,1420,1513,1983,1567,2055,1457
ENSG00000007171,0,1,0,0,0,0
ENSG00000007174,9,16,21,16,25,15
ENSG00000007202,6842,6427,9019,6048,7597,5486
ENSG00000007216,0,0,1,0,0,0
ENSG00000007237,1,3,7,7,3,4
ENSG00000007255,79,114,139,128,140,102
ENSG00000007264,0,1,2,1,0,0
ENSG00000007306,0,0,0,0,0,0
ENSG00000007312,0,0,1,0,0,1
ENSG00000007314,0,1,1,0,0,0
ENSG00000007341,394,426,537,365,492,339
ENSG00000007350,3,2,1,1,2,1
ENSG00000007372,8,7,8,3,7,5
ENSG00000007376,644,604,885,427,532,412
ENSG00000007384,474,471,693,529,670,522
ENSG00000007392,416,460,635,455,534,402
ENSG00000007402,131,119,171,138,139,83
ENSG00000007516,128,126,194,161,226,158
ENSG00000007520,319,331,445,270,364,281
ENSG00000007541,620,615,801,477,606,407
ENSG00000007545,237,188,316,237,263,202
ENSG00000007866,336,310,440,383,484,400
ENSG00000007908,0,0,1,0,0,0
ENSG00000007923,1342,1268,1761,1034,1247,937
ENSG00000007933,0,0,1,2,1,5
ENSG00000007944,275,276,380,263,332,245
ENSG00000007952,3,5,8,4,8,3
ENSG00000007968,223,200,274,138,174,154
ENSG00000008018,1397,1612,2065,1455,2029,1333
ENSG00000008056,1,0,2,1,1,0
ENSG00000008083,491,431,646,586,684,548
ENSG00000008086,201,182,260,248,338,226
ENSG00000008118,1,0,0,1,0,0
ENSG00000008128,17,14,15,15,22,19
ENSG00000008130,1334,1272,1720,1103,1393,1047
ENSG00000008196,0,0,0,1,0,0
ENSG00000008197,0,0,0,0,0,0
ENSG00000008226,29,20,34,21,19,10
ENSG00000008256,880,899,1194,1057,1231,969
ENSG00000008277,333,354,486,401,511,343
ENSG00000008282,966,1221,1629,1257,1712,1115
ENSG00000008283,2527,2537,3571,2432,3082,2230
ENSG00000008294,1122,1138,1492,1423,1827,1212
ENSG00000008300,109,94,160,133,176,120
ENSG00000008311,191,183,241,246,301,197
ENSG00000008323,42,32,37,40,35,32
ENSG00000008324,150,150,188,143,180,107
ENSG00000008382,109,98,164,73,111,86
ENSG00000008394,4418,3964,5548,3636,4218,3125
ENSG00000008405,326,359,473,429,557,376
ENSG00000008438,3,3,7,3,7,2
ENSG00000008441,10375,8958,13342,7981,9519,7544
ENSG00000008513,9994,9335,13118,10341,12318,8862
ENSG00000008516,9,9,14,9,15,8
ENSG00000008517,14,17,20,16,17,13
ENSG00000008710,1251,1164,1568,1693,2117,1444
ENSG00000008735,227,257,356,302,337,240
ENSG00000008838,1378,1250,1769,1270,1535,1160
ENSG00000008853,364,336,476,392,482,322
ENSG00000008869,842,866,1162,1004,1299,886
ENSG00000008952,1608,1569,2319,1705,1964,1402
ENSG00000008988,5327,5973,8485,7015,8486,6205
ENSG00000009307,15067,15406,20532,17007,21732,15186
ENSG00000009335,2960,3212,4288,3016,4027,2803
ENSG00000009413,689,635,989,1124,1444,979
ENSG00000009694,93,88,130,134,148,104
ENSG00000009709,0,0,0,0,0,0
ENSG00000009724,73,62,96,69,81,58
ENSG00000009765,307,329,384,401,562,382
ENSG00000009780,160,135,224,136,162,118
ENSG00000009790,5,8,9,8,9,4
ENSG00000009830,413,359,530,365,500,342
ENSG00000009844,4672,4710,6297,4634,6277,4128
ENSG00000009950,45,42,68,44,39,39
ENSG00000009954,3569,3404,4857,3552,4088,3006
ENSG00000010017,784,790,1078,1034,1216,819
ENSG00000010030,1,6,2,1,1,3
ENSG00000010072,246,269,386,305,333,233
ENSG00000010165,811,843,1141,637,790,581
ENSG00000010219,156,131,222,169,227,206
ENSG00000010244,3375,3094,4196,2761,3421,2339
ENSG00000010256,2800,2666,3755,2774,3369,2448
ENSG00000010270,521,558,768,595,762,541
ENSG00000010278,3125,3686,5070,3655,4896,3304
ENSG00000010282,1,0,0,0,1,0
ENSG00000010292,3132,2839,4232,2055,2595,1981
ENSG00000010295,2,1,3,1,2,0
ENSG00000010310,0,2,2,0,0,0
ENSG00000010318,170,149,185,196,230,163
ENSG00000010319,101,80,148,97,153,91
ENSG00000010322,1644,1510,2080,1817,2226,1549
ENSG00000010327,4,0,1,1,0,0
ENSG00000010361,45,46,64,44,61,46
ENSG00000010379,0,1,1,0,2,5
ENSG00000010404,646,638,875,823,997,657
ENSG00000010438,1,3,2,2,4,2
ENSG00000010539,203,218,292,218,244,173
ENSG00000010610,15,4,14,8,22,22
ENSG00000010626,142,133,211,157,154,124
ENSG00000010671,1,0,1,1,0,2
ENSG00000010704,85,88,91,53,70,49
ENSG00000010803,1402,1201,1737,1383,1501,1202
ENSG00000010810,17,13,16,47,74,45
ENSG00000010818,881,847,1149,1346,1615,1216
ENSG00000010932,1,2,5,0,2,3
ENSG00000011007,1261,1153,1695,962,1091,877
ENSG00000011009,523,470,683,414,530,371
ENSG00000011021,289,291,396,293,423,241
ENSG00000011028,2,0,0,1,2,1
ENSG00000011052,0,0,0,0,0,0
